miss_id,miss_char,miss_count,created_at,updated_at,user_id
171,b,60,2025-04-02 01:39:49.028648+00,2025-06-30 09:14:03.92105+00,575e0431-1085-4d49-9191-86fd4695b554
167,u,460,2025-04-02 01:39:49.0234+00,2025-06-30 09:14:03.922322+00,575e0431-1085-4d49-9191-86fd4695b554
213,u,144,2025-04-02 01:40:49.148886+00,2025-06-30 08:11:58.4865+00,522f3d6d-e633-426b-bf51-b50dee27ec96
109,w,129,2025-04-02 01:34:13.398192+00,2025-06-30 09:38:28.194986+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
127,d,201,2025-04-02 01:34:17.554352+00,2025-06-30 08:15:35.058331+00,5f19c80d-8883-42f3-9257-f9f899f703d9
192,u,61,2025-04-02 01:39:56.65103+00,2025-05-23 00:20:20.206754+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
164,k,327,2025-04-02 01:39:49.019374+00,2025-06-30 09:14:03.926216+00,575e0431-1085-4d49-9191-86fd4695b554
116,r,321,2025-04-02 01:34:17.539732+00,2025-06-30 08:15:35.059625+00,5f19c80d-8883-42f3-9257-f9f899f703d9
145,j,382,2025-04-02 01:39:22.282466+00,2025-06-30 07:23:54.588038+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
120,e,505,2025-04-02 01:34:17.545044+00,2025-06-30 08:15:35.06239+00,5f19c80d-8883-42f3-9257-f9f899f703d9
180,t,57,2025-04-02 01:39:56.635164+00,2025-05-23 00:20:20.209425+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
203,t,50,2025-04-02 01:40:08.449559+00,2025-06-25 08:02:37.070957+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
125,j,78,2025-04-02 01:34:17.551707+00,2025-06-30 08:12:09.594062+00,5f19c80d-8883-42f3-9257-f9f899f703d9
184,e,75,2025-04-02 01:39:56.640467+00,2025-05-23 00:20:20.21072+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
133,r,319,2025-04-02 01:34:37.945482+00,2025-06-27 08:58:50.926775+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
119,a,700,2025-04-02 01:34:17.543712+00,2025-06-30 08:15:35.064988+00,5f19c80d-8883-42f3-9257-f9f899f703d9
138,y,51,2025-04-02 01:34:37.952492+00,2025-06-26 02:59:27.28223+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
202,s,28,2025-04-02 01:40:08.448241+00,2025-06-24 06:50:44.573279+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
136,o,285,2025-04-02 01:34:37.949683+00,2025-06-27 08:58:50.928041+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
135,u,158,2025-04-02 01:34:37.948352+00,2025-06-27 08:58:50.929307+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
126,t,440,2025-04-02 01:34:17.553035+00,2025-06-30 08:15:35.06628+00,5f19c80d-8883-42f3-9257-f9f899f703d9
181,h,25,2025-04-02 01:39:56.636483+00,2025-05-22 05:25:25.624071+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
189,y,17,2025-04-02 01:39:56.64707+00,2025-05-20 00:07:56.002729+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
142,g,103,2025-04-02 01:34:37.957771+00,2025-06-27 08:58:50.933125+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
157,z,51,2025-04-02 01:39:22.298352+00,2025-06-27 08:53:21.886705+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
165,m,124,2025-04-02 01:39:49.020691+00,2025-06-30 09:14:03.931309+00,575e0431-1085-4d49-9191-86fd4695b554
190,s,62,2025-04-02 01:39:56.648388+00,2025-05-22 05:25:25.625382+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
130,f,67,2025-04-02 01:34:17.558302+00,2025-06-30 08:15:35.067593+00,5f19c80d-8883-42f3-9257-f9f899f703d9
177,k,27,2025-04-02 01:39:56.630716+00,2025-05-22 05:25:25.628045+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
122,n,503,2025-04-02 01:34:17.547722+00,2025-06-30 08:15:35.070152+00,5f19c80d-8883-42f3-9257-f9f899f703d9
115,u,354,2025-04-02 01:34:17.537979+00,2025-06-30 08:15:35.071427+00,5f19c80d-8883-42f3-9257-f9f899f703d9
162,w,73,2025-04-02 01:39:49.016703+00,2025-06-30 09:14:03.932593+00,575e0431-1085-4d49-9191-86fd4695b554
121,z,36,2025-04-02 01:34:17.546362+00,2025-06-30 02:39:39.103767+00,5f19c80d-8883-42f3-9257-f9f899f703d9
150,d,613,2025-04-02 01:39:22.289111+00,2025-06-30 09:14:46.777393+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
26,h,613,2025-04-02 01:34:00.560518+00,2025-06-30 08:08:30.165509+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
